File Name,Used For,Recommended Real Photo
hero-indian-salon.webp,Homepage hero,"Replace with a premium real salon portrait/interior photo, landscape 1600x1000"
hair-straightening.webp,Hair Straightening,Real before/after or finished straight hair
hair-botox.webp,Hair Botox,Real treatment/finished result
nanoplastia.webp,Nanoplastia,Real before/after transformation
facial.webp,Facial,Real service photo with client consent
dtan.webp,D-Tan Treatment,"Real service/result image, avoid misleading skin-tone claims"
hair-color.webp,Hair Colour,Real colour transformation
hair-highlights.webp,Hair Highlights,Real highlight result
global-hair-color.webp,Global Hair Colour,Real full-colour result
manicure.webp,Manicure,Real clean nail-care image
pedicure.webp,Pedicure,Real hygienic foot-care image
waxing.webp,Waxing,Tasteful real service image with consent
haircut.webp,Haircut,Real finished haircut
advanced-haircut.webp,Advanced Haircut,Real precision haircut
butterfly-haircut.webp,Butterfly Haircut,Real front/back layers
step-cut.webp,Step Cut,Real layered result
